iter	Passed	Remaining
0	24	24118
1	53	26538
2	67	22390
3	93	23173
4	118	23671
5	138	22897
6	154	21893
7	172	21402
8	196	21688
9	228	22668
10	239	21565
11	248	20489
12	273	20784
13	298	21032
14	322	21149
15	347	21346
16	372	21520
17	394	21506
18	415	21442
19	436	21386
20	459	21418
21	482	21445
22	507	21566
23	531	21607
24	555	21660
25	579	21716
26	602	21714
27	611	21227
28	631	21142
29	654	21151
30	677	21191
31	703	21293
32	727	21317
33	747	21244
34	770	21237
35	788	21107
36	796	20739
37	816	20666
38	831	20490
39	861	20681
40	889	20814
41	913	20838
42	937	20866
43	965	20983
44	991	21040
45	1018	21115
46	1035	21000
47	1060	21034
48	1086	21095
49	1112	21137
50	1124	20921
51	1147	20926
52	1172	20950
53	1198	20989
54	1221	20981
55	1244	20973
56	1268	20980
57	1290	20961
58	1315	20973
59	1340	20994
60	1363	20986
61	1397	21140
62	1419	21117
63	1441	21084
64	1463	21057
65	1486	21039
66	1512	21060
67	1536	21052
68	1560	21060
69	1577	20955
70	1598	20913
71	1619	20878
72	1643	20870
73	1666	20857
74	1690	20848
75	1712	20823
76	1735	20802
77	1757	20773
78	1779	20749
79	1803	20739
80	1827	20731
81	1850	20720
82	1877	20739
83	1901	20733
84	1923	20710
85	1948	20708
86	1971	20689
87	1994	20665
88	2017	20653
89	2048	20714
90	2071	20690
91	2093	20661
92	2116	20641
93	2140	20633
94	2165	20631
95	2189	20619
96	2216	20634
97	2240	20618
98	2260	20575
99	2284	20562
100	2307	20537
101	2331	20528
102	2360	20557
103	2384	20547
104	2409	20536
105	2432	20512
106	2454	20487
107	2477	20461
108	2500	20440
109	2523	20417
110	2546	20392
111	2570	20382
112	2594	20364
113	2618	20349
114	2644	20348
115	2669	20341
116	2692	20319
117	2716	20307
118	2739	20280
119	2761	20253
120	2787	20249
121	2812	20242
122	2834	20211
123	2858	20191
124	2882	20179
125	2905	20151
126	2931	20152
127	2955	20131
128	2963	20012
129	2980	19947
130	3004	19930
131	3029	19918
132	3054	19914
133	3079	19900
134	3106	19906
135	3132	19902
136	3158	19898
137	3186	19902
138	3201	19828
139	3225	19812
140	3250	19799
141	3272	19776
142	3297	19762
143	3322	19751
144	3345	19729
145	3366	19694
146	3389	19668
147	3413	19653
148	3438	19639
149	3462	19622
150	3485	19595
151	3508	19573
152	3526	19524
153	3550	19503
154	3573	19479
155	3598	19467
156	3622	19448
157	3658	19498
158	3690	19522
159	3715	19504
160	3739	19488
161	3769	19498
162	3791	19467
163	3812	19435
164	3836	19413
165	3857	19382
166	3866	19286
167	3878	19209
168	3903	19195
169	3927	19176
170	3953	19168
171	3980	19162
172	3990	19074
173	4017	19072
174	4023	18968
175	4052	18973
176	4079	18968
177	4103	18951
178	4127	18930
179	4152	18917
180	4179	18911
181	4209	18917
182	4215	18818
183	4238	18797
184	4262	18776
185	4284	18750
186	4306	18724
187	4345	18767
188	4369	18750
189	4394	18735
190	4422	18732
191	4448	18721
192	4473	18704
193	4497	18683
194	4512	18628
195	4538	18617
196	4565	18611
197	4591	18596
198	4616	18582
199	4642	18570
200	4667	18552
201	4689	18526
202	4714	18510
203	4738	18488
204	4760	18461
205	4784	18440
206	4806	18414
207	4831	18395
208	4853	18369
209	4880	18358
210	4904	18338
211	4927	18315
212	4953	18301
213	4969	18254
214	4991	18224
215	5014	18199
216	5037	18177
217	5059	18147
218	5082	18126
219	5106	18105
220	5130	18083
221	5154	18063
222	5164	17994
223	5170	17910
224	5182	17851
225	5204	17822
226	5225	17795
227	5249	17773
228	5271	17748
229	5295	17728
230	5318	17706
231	5340	17677
232	5363	17654
233	5388	17638
234	5410	17612
235	5431	17584
236	5437	17506
237	5457	17474
238	5479	17447
239	5502	17425
240	5526	17404
241	5536	17342
242	5561	17326
243	5584	17304
244	5609	17287
245	5631	17259
246	5652	17231
247	5673	17204
248	5695	17177
249	5716	17150
250	5725	17085
251	5749	17064
252	5772	17042
253	5795	17021
254	5819	17000
255	5827	16937
256	5848	16909
257	5869	16880
258	5881	16826
259	5890	16764
260	5912	16739
261	5937	16726
262	5966	16720
263	5995	16714
264	6023	16706
265	6050	16696
266	6075	16680
267	6102	16667
268	6127	16650
269	6152	16633
270	6175	16611
271	6199	16592
272	6223	16571
273	6246	16551
274	6276	16548
275	6300	16527
276	6321	16499
277	6344	16477
278	6368	16456
279	6388	16426
280	6412	16407
281	6434	16384
